,Survived,Pclass,Age,SibSp,Parch,Fare,Port,Gender
333,0,3,16.0,2,0,18.0,3,1
334,1,1,28.343689655172415,1,0,133.65,3,0
335,0,3,30.62617924528302,0,0,7.8958,3,1
336,0,1,29.0,1,0,66.6,3,1
337,1,1,41.0,0,0,134.5,1,0
338,1,3,45.0,0,0,8.05,3,1
339,0,1,45.0,0,0,35.5,3,1
340,1,2,2.0,1,1,26.0,3,1
341,1,1,24.0,3,2,263.0,3,0
342,0,2,28.0,0,0,13.0,3,1
343,0,2,25.0,0,0,13.0,3,1
344,0,2,36.0,0,0,13.0,3,1
345,1,2,24.0,0,0,13.0,3,0
346,1,2,40.0,0,0,13.0,3,0
347,1,3,28.343689655172415,1,0,16.1,3,0
348,1,3,3.0,1,1,15.9,3,1
349,0,3,42.0,0,0,8.6625,3,1
350,0,3,23.0,0,0,9.225,3,1
351,0,1,30.62617924528302,0,0,35.0,3,1
352,0,3,15.0,1,1,7.2292,1,1
353,0,3,25.0,1,0,17.8,3,1
354,0,3,30.62617924528302,0,0,7.225,1,1
355,0,3,28.0,0,0,9.5,3,1
356,1,1,22.0,0,1,55.0,3,0
357,0,2,38.0,0,0,13.0,3,0
358,1,3,28.343689655172415,0,0,7.8792,2,0
359,1,3,28.343689655172415,0,0,7.8792,2,0
360,0,3,40.0,1,4,27.9,3,1
361,0,2,29.0,1,0,27.7208,1,1
362,0,3,45.0,0,1,14.4542,1,0
363,0,3,35.0,0,0,7.05,3,1
364,0,3,30.62617924528302,1,0,15.5,2,1
365,0,3,30.0,0,0,7.25,3,1
366,1,1,60.0,1,0,75.25,1,0
367,1,3,28.343689655172415,0,0,7.2292,1,0
368,1,3,28.343689655172415,0,0,7.75,2,0
369,1,1,24.0,0,0,69.3,1,0
370,1,1,25.0,1,0,55.4417,1,1
371,0,3,18.0,1,0,6.4958,3,1
372,0,3,19.0,0,0,8.05,3,1
373,0,1,22.0,0,0,135.6333,1,1
374,0,3,3.0,3,1,21.075,3,0
375,1,1,28.343689655172415,1,0,82.1708,1,0
376,1,3,22.0,0,0,7.25,3,0
377,0,1,27.0,0,2,211.5,1,1
378,0,3,20.0,0,0,4.0125,1,1
379,0,3,19.0,0,0,7.775,3,1
380,1,1,42.0,0,0,227.525,1,0
381,1,3,1.0,0,2,15.7417,1,0
382,0,3,32.0,0,0,7.925,3,1
383,1,1,35.0,1,0,52.0,3,0
384,0,3,30.62617924528302,0,0,7.8958,3,1
385,0,2,18.0,0,0,73.5,3,1
386,0,3,1.0,5,2,46.9,3,1
387,1,2,36.0,0,0,13.0,3,0
388,0,3,30.62617924528302,0,0,7.7292,2,1
389,1,2,17.0,0,0,12.0,1,0
390,1,1,36.0,1,2,120.0,3,1
391,1,3,21.0,0,0,7.7958,3,1
392,0,3,28.0,2,0,7.925,3,1
393,1,1,23.0,1,0,113.275,1,0
394,1,3,24.0,0,2,16.7,3,0
395,0,3,22.0,0,0,7.7958,3,1
396,0,3,31.0,0,0,7.8542,3,0
397,0,2,46.0,0,0,26.0,3,1
398,0,2,23.0,0,0,10.5,3,1
399,1,2,28.0,0,0,12.65,3,0
400,1,3,39.0,0,0,7.925,3,1
401,0,3,26.0,0,0,8.05,3,1
402,0,3,21.0,1,0,9.825,3,0
403,0,3,28.0,1,0,15.85,3,1
404,0,3,20.0,0,0,8.6625,3,0
405,0,2,34.0,1,0,21.0,3,1
406,0,3,51.0,0,0,7.75,3,1
407,1,2,3.0,1,1,18.75,3,1
408,0,3,21.0,0,0,7.775,3,1
409,0,3,30.62617924528302,3,1,25.4667,3,0
410,0,3,30.62617924528302,0,0,7.8958,3,1
411,0,3,30.62617924528302,0,0,6.8583,2,1
412,1,1,33.0,1,0,90.0,2,0
413,0,2,30.62617924528302,0,0,0.0,3,1
414,1,3,44.0,0,0,7.925,3,1
415,0,3,30.62617924528302,0,0,8.05,3,0
416,1,2,34.0,1,1,32.5,3,0
417,1,2,18.0,0,2,13.0,3,0
418,0,2,30.0,0,0,13.0,3,1
419,0,3,10.0,0,2,24.15,3,0
420,0,3,30.62617924528302,0,0,7.8958,1,1
421,0,3,21.0,0,0,7.7333,2,1
422,0,3,29.0,0,0,7.875,3,1
423,0,3,28.0,1,1,14.4,3,0
424,0,3,18.0,1,1,20.2125,3,1
425,0,3,30.62617924528302,0,0,7.25,3,1
426,1,2,28.0,1,0,26.0,3,0
427,1,2,19.0,0,0,26.0,3,0
428,0,3,30.62617924528302,0,0,7.75,2,1
429,1,3,32.0,0,0,8.05,3,1
430,1,1,28.0,0,0,26.55,3,1
431,1,3,28.343689655172415,1,0,16.1,3,0
432,1,2,42.0,1,0,26.0,3,0
433,0,3,17.0,0,0,7.125,3,1
434,0,1,50.0,1,0,55.9,3,1
435,1,1,14.0,1,2,120.0,3,0
436,0,3,21.0,2,2,34.375,3,0
437,1,2,24.0,2,3,18.75,3,0
438,0,1,64.0,1,4,263.0,3,1
439,0,2,31.0,0,0,10.5,3,1
440,1,2,45.0,1,1,26.25,3,0
441,0,3,20.0,0,0,9.5,3,1
442,0,3,25.0,1,0,7.775,3,1
443,1,2,28.0,0,0,13.0,3,0
444,1,3,28.343689655172415,0,0,8.1125,3,1
445,1,1,4.0,0,2,81.8583,3,1
446,1,2,13.0,0,1,19.5,3,0
447,1,1,34.0,0,0,26.55,3,1
448,1,3,5.0,2,1,19.2583,1,0
449,1,1,52.0,0,0,30.5,3,1
450,0,2,36.0,1,2,27.75,3,1
451,0,3,30.62617924528302,1,0,19.9667,3,1
452,0,1,30.0,0,0,27.75,1,1
453,1,1,49.0,1,0,89.1042,1,1
454,0,3,30.62617924528302,0,0,8.05,3,1
455,1,3,29.0,0,0,7.8958,1,1
456,0,1,65.0,0,0,26.55,3,1
457,1,1,28.343689655172415,1,0,51.8625,3,0
458,1,2,50.0,0,0,10.5,3,0
459,0,3,30.62617924528302,0,0,7.75,2,1
460,1,1,48.0,0,0,26.55,3,1
461,0,3,34.0,0,0,8.05,3,1
462,0,1,47.0,0,0,38.5,3,1
463,0,2,48.0,0,0,13.0,3,1
464,0,3,30.62617924528302,0,0,8.05,3,1
465,0,3,38.0,0,0,7.05,3,1
466,0,2,30.62617924528302,0,0,0.0,3,1
467,0,1,56.0,0,0,26.55,3,1
468,0,3,30.62617924528302,0,0,7.725,2,1
469,1,3,0.75,2,1,19.2583,1,0
470,0,3,30.62617924528302,0,0,7.25,3,1
471,0,3,38.0,0,0,8.6625,3,1
472,1,2,33.0,1,2,27.75,3,0
473,1,2,23.0,0,0,13.7917,1,0
474,0,3,22.0,0,0,9.8375,3,0
475,0,1,30.62617924528302,0,0,52.0,3,1
476,0,2,34.0,1,0,21.0,3,1
477,0,3,29.0,1,0,7.0458,3,1
478,0,3,22.0,0,0,7.5208,3,1
479,1,3,2.0,0,1,12.2875,3,0
480,0,3,9.0,5,2,46.9,3,1
481,0,2,30.62617924528302,0,0,0.0,3,1
482,0,3,50.0,0,0,8.05,3,1
483,1,3,63.0,0,0,9.5875,3,0
484,1,1,25.0,1,0,91.0792,1,1
485,0,3,30.62617924528302,3,1,25.4667,3,0
486,1,1,35.0,1,0,90.0,3,0
487,0,1,58.0,0,0,29.7,1,1
488,0,3,30.0,0,0,8.05,3,1
489,1,3,9.0,1,1,15.9,3,1
490,0,3,30.62617924528302,1,0,19.9667,3,1
491,0,3,21.0,0,0,7.25,3,1
492,0,1,55.0,0,0,30.5,3,1
493,0,1,71.0,0,0,49.5042,1,1
494,0,3,21.0,0,0,8.05,3,1
495,0,3,30.62617924528302,0,0,14.4583,1,1
496,1,1,54.0,1,0,78.2667,1,0
497,0,3,30.62617924528302,0,0,15.1,3,1
498,0,1,25.0,1,2,151.55,3,0
499,0,3,24.0,0,0,7.7958,3,1
500,0,3,17.0,0,0,8.6625,3,1
501,0,3,21.0,0,0,7.75,2,0
502,0,3,30.62617924528302,0,0,7.6292,2,0
503,0,3,37.0,0,0,9.5875,3,0
504,1,1,16.0,0,0,86.5,3,0
505,0,1,18.0,1,0,108.9,1,1
506,1,2,33.0,0,2,26.0,3,0
507,1,1,28.343689655172415,0,0,26.55,3,1
508,0,3,28.0,0,0,22.525,3,1
509,1,3,26.0,0,0,56.4958,3,1
510,1,3,29.0,0,0,7.75,2,1
511,0,3,30.62617924528302,0,0,8.05,3,1
512,1,1,36.0,0,0,26.2875,3,1
513,1,1,54.0,1,0,59.4,1,0
514,0,3,24.0,0,0,7.4958,3,1
515,0,1,47.0,0,0,34.0208,3,1
516,1,2,34.0,0,0,10.5,3,0
517,0,3,30.62617924528302,0,0,24.15,2,1
518,1,2,36.0,1,0,26.0,3,0
519,0,3,32.0,0,0,7.8958,3,1
520,1,1,30.0,0,0,93.5,3,0
521,0,3,22.0,0,0,7.8958,3,1
522,0,3,30.62617924528302,0,0,7.225,1,1
523,1,1,44.0,0,1,57.9792,1,0
524,0,3,30.62617924528302,0,0,7.2292,1,1
525,0,3,40.5,0,0,7.75,2,1
526,1,2,50.0,0,0,10.5,3,0
527,0,1,30.62617924528302,0,0,221.7792,3,1
528,0,3,39.0,0,0,7.925,3,1
529,0,2,23.0,2,1,11.5,3,1
530,1,2,2.0,1,1,26.0,3,0
531,0,3,30.62617924528302,0,0,7.2292,1,1
532,0,3,17.0,1,1,7.2292,1,1
533,1,3,28.343689655172415,0,2,22.3583,1,0
534,0,3,30.0,0,0,8.6625,3,0
535,1,2,7.0,0,2,26.25,3,0
536,0,1,45.0,0,0,26.55,3,1
537,1,1,30.0,0,0,106.425,1,0
538,0,3,30.62617924528302,0,0,14.5,3,1
539,1,1,22.0,0,2,49.5,1,0
540,1,1,36.0,0,2,71.0,3,0
541,0,3,9.0,4,2,31.275,3,0
542,0,3,11.0,4,2,31.275,3,0
543,1,2,32.0,1,0,26.0,3,1
544,0,1,50.0,1,0,106.425,1,1
545,0,1,64.0,0,0,26.0,3,1
546,1,2,19.0,1,0,26.0,3,0
547,1,2,28.343689655172415,0,0,13.8625,1,1
548,0,3,33.0,1,1,20.525,3,1
549,1,2,8.0,1,1,36.75,3,1
550,1,1,17.0,0,2,110.8833,1,1
551,0,2,27.0,0,0,26.0,3,1
552,0,3,30.62617924528302,0,0,7.8292,2,1
553,1,3,22.0,0,0,7.225,1,1
554,1,3,22.0,0,0,7.775,3,0
555,0,1,62.0,0,0,26.55,3,1
556,1,1,48.0,1,0,39.6,1,0
557,0,1,30.62617924528302,0,0,227.525,1,1
558,1,1,39.0,1,1,79.65,3,0
559,1,3,36.0,1,0,17.4,3,0
560,0,3,30.62617924528302,0,0,7.75,2,1
561,0,3,40.0,0,0,7.8958,3,1
562,0,2,28.0,0,0,13.5,3,1
563,0,3,30.62617924528302,0,0,8.05,3,1
564,0,3,30.62617924528302,0,0,8.05,3,0
565,0,3,24.0,2,0,24.15,3,1
566,0,3,19.0,0,0,7.8958,3,1
567,0,3,29.0,0,4,21.075,3,0
568,0,3,30.62617924528302,0,0,7.2292,1,1
569,1,3,32.0,0,0,7.8542,3,1
570,1,2,62.0,0,0,10.5,3,1
571,1,1,53.0,2,0,51.4792,3,0
572,1,1,36.0,0,0,26.3875,3,1
573,1,3,28.343689655172415,0,0,7.75,2,0
574,0,3,16.0,0,0,8.05,3,1
575,0,3,19.0,0,0,14.5,3,1
576,1,2,34.0,0,0,13.0,3,0
577,1,1,39.0,1,0,55.9,3,0
578,0,3,30.62617924528302,1,0,14.4583,1,0
579,1,3,32.0,0,0,7.925,3,1
580,1,2,25.0,1,1,30.0,3,0
581,1,1,39.0,1,1,110.8833,1,0
582,0,2,54.0,0,0,26.0,3,1
583,0,1,36.0,0,0,40.125,1,1
584,0,3,30.62617924528302,0,0,8.7125,1,1
585,1,1,18.0,0,2,79.65,3,0
586,0,2,47.0,0,0,15.0,3,1
587,1,1,60.0,1,1,79.2,1,1
588,0,3,22.0,0,0,8.05,3,1
589,0,3,30.62617924528302,0,0,8.05,3,1
590,0,3,35.0,0,0,7.125,3,1
591,1,1,52.0,1,0,78.2667,1,0
592,0,3,47.0,0,0,7.25,3,1
593,0,3,30.62617924528302,0,2,7.75,2,0
594,0,2,37.0,1,0,26.0,3,1
595,0,3,36.0,1,1,24.15,3,1
596,1,2,28.343689655172415,0,0,33.0,3,0
597,0,3,49.0,0,0,0.0,3,1
598,0,3,30.62617924528302,0,0,7.225,1,1
599,1,1,49.0,1,0,56.9292,1,1
600,1,2,24.0,2,1,27.0,3,0
